hts_8digit,hts_10digit,chapter_99_code,duty_rate,list_name,effective_start,effective_end,source_doc
84134000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84135000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84136000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84137010,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84137020,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84138100,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84138200,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84139110,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84139120,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84139190,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84143040,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84143080,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84145930,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84147000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84148005,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84148020,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84149030,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84149041,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84149091,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84169000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84171000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84178000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84179000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84186901,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84191100,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84191200,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84191901,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84193310,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84193350,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84193400,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84193510,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84193550,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84193902,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
